brand,model,launch_year,km_driven,launch_price,current_price
Maruti,Swift,2018,30000,700000,520000
Maruti,Baleno,2019,25000,850000,680000
Hyundai,i20,2018,35000,800000,610000
Hyundai,Creta,2020,20000,1400000,1200000
Honda,City,2017,50000,1100000,780000
Honda,Amaze,2019,30000,850000,670000 
Tata,Nexon,2021,18000,1200000,1050000
Tata,Punch,2022,12000,900000,830000
Mahindra,XUV300,2020,25000,1300000,1080000
Mahindra,Scorpio,2018,45000,1600000,1200000
Mahindra,Thar Roxx,2024,8000,1850000,1680000
brand,model,launch_year,km_driven,launch_price,current_price
Tata,Nexon,2015,99023,1164062,407421
Honda,Civic,2016,74546,1832107,641237
Tata,Punch,2021,86294,911090,465521
Honda,City,2024,66316,1034602,802445
Hyundai,i20,2020,24339,761901,413653
Tata,Harrier,2025,12909,1783537,1644588
Honda,City,2015,13617,1000665,350232
Maruti,Swift,2018,86340,757142,264999
Maruti,Swift,2025,104044,792453,717452
Honda,Amaze,2019,11716,914541,320089
Hyundai,Venue,2016,44242,1250062,437521
Tata,Punch,2023,21315,930935,782151
Hyundai,Venue,2015,63050,1133784,396824
Hyundai,Venue,2022,88382,1283971,722995
Tata,Harrier,2018,31010,1754743,680117
Mahindra,Scorpio,2023,93043,1615451,1307996
Hyundai,i20,2025,35054,879047,810677
Tata,Punch,2017,118278,812068,351474
Tata,Punch,2017,8367,825759,450957
Tata,Punch,2019,51998,927455,428961
Mahindra,Scorpio,2019,12187,1521239,532433
Mahindra,XUV300,2021,74198,1295750,615437
Mahindra,Thar Roxx,2025,33897,1917352,1805516
Tata,Punch,2024,9529,989347,823875
Tata,Punch,2018,33530,962799,506058
Maruti,Swift,2025,39524,738585,654456
Mahindra,XUV300,2018,47606,1202611,420913
Mahindra,Scorpio,2025,51424,1687642,1600292
Maruti,Swift,2018,89696,770779,341810
Hyundai,i20,2021,31424,713393,449866
Hyundai,Venue,2015,81366,1235467,432413
Hyundai,Venue,2019,113466,1298396,454438
Hyundai,Creta,2016,79734,1452749,508462
Tata,Punch,2017,101930,957434,335101
Hyundai,i20,2019,11408,860489,421355
Honda,City,2018,8237,1012536,354387
Tata,Punch,2015,69668,857728,300204
Tata,Nexon,2021,100916,1131263,580671
Tata,Harrier,2025,20268,1731683,1572250
Mahindra,Scorpio,2019,47329,1679266,587743
Hyundai,Venue,2023,112769,1220987,964228
Mahindra,Scorpio,2015,6926,1547973,541790
Mahindra,XUV300,2025,84271,1349571,1257503
Mahindra,XUV300,2024,62760,1325485,1153974
Mahindra,Scorpio,2019,77254,1664749,705566
Honda,Civic,2023,107827,1803736,1491821
Tata,Harrier,2024,14351,1712527,1387395
Hyundai,Venue,2019,75613,1280656,585705
Tata,Nexon,2022,25805,1163709,729368
Hyundai,Venue,2022,54574,1198728,853978
Hyundai,Venue,2025,16343,1191879,1078038
Tata,Punch,2024,83863,975116,744441
Maruti,Baleno,2023,69466,790416,666144
Mahindra,XUV300,2022,23601,1381607,842463
Hyundai,Creta,2022,117269,1403278,955820
Honda,Amaze,2023,67348,856555,679508
Maruti,Baleno,2015,10081,867827,303739
Mahindra,XUV300,2016,58300,1303960,456386
Tata,Harrier,2019,75755,1761547,616541
Maruti,Baleno,2020,30951,777430,471897
Maruti,Swift,2015,85106,751138,262898
Hyundai,Creta,2015,22069,1395825,488538
Hyundai,Creta,2021,98120,1362743,1011962
Hyundai,i20,2025,8196,796685,718238
Tata,Harrier,2021,28088,1714204,1013867
Honda,City,2019,76276,1181412,413494
Hyundai,i20,2020,42564,753875,317222
Honda,Civic,2023,94824,1880116,1388627
Maruti,Brezza,2021,23148,1093946,595485
Honda,Civic,2020,92193,1776328,715003
Mahindra,Thar Roxx,2015,21239,1773212,620624
Hyundai,Venue,2018,11576,1162827,440272
Maruti,Swift,2021,37505,664258,279328
Maruti,Brezza,2022,44495,1179604,775969
Tata,Nexon,2023,30438,1122500,921865
Mahindra,XUV300,2016,69770,1387377,485581
Hyundai,i20,2025,22434,888414,806479
Tata,Harrier,2016,115929,1786461,625261
Tata,Harrier,2025,65032,1792012,1623166
Tata,Harrier,2017,93257,1804449,631557
Maruti,Baleno,2018,70182,930443,422232
Honda,City,2016,41290,1045015,365755
Hyundai,Creta,2015,33392,1396311,488708
Maruti,Brezza,2024,86816,1027167,885258
Tata,Harrier,2015,13253,1767019,618456
Mahindra,Thar Roxx,2017,49033,1833851,890467
Honda,Amaze,2020,71322,753658,523826
Maruti,Swift,2025,105584,682922,618028
Honda,City,2023,60647,1091025,827976
Mahindra,Thar Roxx,2021,40473,1804477,1133013
Mahindra,XUV300,2017,101876,1202995,421048
Honda,Civic,2016,101047,1804936,631727
Hyundai,i20,2022,21184,740576,545751
Hyundai,Creta,2022,19308,1449507,956960
Mahindra,Thar Roxx,2015,45724,1756509,614778
Maruti,Baleno,2021,90155,910807,639318
Tata,Nexon,2015,78312,1221372,427480
Maruti,Brezza,2023,96600,1043581,697134
Mahindra,Thar Roxx,2020,8399,1868815,728326
Maruti,Baleno,2022,72069,789076,411876
Honda,Amaze,2018,59645,896936,432741
Maruti,Baleno,2024,73108,808836,699620
Hyundai,Venue,2021,99084,1175993,673235
Mahindra,Thar Roxx,2017,74965,1856878,649907
Honda,City,2023,39129,1048553,738265
Maruti,Brezza,2025,42975,1089939,977058
Honda,Civic,2017,31418,1872846,655496
Mahindra,Scorpio,2019,100304,1665781,583023
Honda,Civic,2021,112037,1756421,802543
Mahindra,Thar Roxx,2020,90787,1797481,629118
Hyundai,Venue,2023,70649,1124445,759849
Hyundai,Venue,2024,75509,1297305,1066985
Tata,Punch,2021,30689,967371,493429
Honda,Amaze,2023,22461,880355,633576
Mahindra,Thar Roxx,2018,15583,1924239,844611
Maruti,Swift,2023,5032,659874,513870
Hyundai,Venue,2016,84913,1226240,429184
Mahindra,Thar Roxx,2015,95259,1892128,662244
Mahindra,XUV300,2019,12669,1364346,592139
Maruti,Swift,2020,103647,696193,433724
Tata,Harrier,2021,108413,1803636,1307857
Hyundai,Venue,2019,22128,1247486,436620
Maruti,Baleno,2022,9524,842671,461797
Tata,Punch,2025,102263,935222,863649
Honda,Amaze,2025,102039,933668,842438
Mahindra,Thar Roxx,2018,7443,1928382,674933
Honda,Civic,2017,95690,1885323,659863
Tata,Nexon,2015,118044,1293326,452664
Maruti,Baleno,2021,73545,837903,434295
Hyundai,Venue,2023,100205,1128536,826015
Maruti,Swift,2018,44469,620200,270178
Honda,Amaze,2018,71518,908013,317804
Maruti,Baleno,2023,107424,785173,594173
Hyundai,Creta,2020,7145,1441145,539644
Honda,City,2018,95165,1094238,382983
Maruti,Baleno,2024,64999,786544,598134
Mahindra,Scorpio,2015,118784,1611677,564086
Tata,Punch,2020,5470,888030,445521
Honda,Amaze,2022,82800,787386,614671
Honda,City,2020,15722,1196071,740581
Mahindra,Scorpio,2021,16594,1632391,1097174
Mahindra,Thar Roxx,2022,45540,1789061,1170812
